MisconceptionName,LLM_Response
Believes that graphs of inverse proportion meet the axes,"Question Text: A graph shows the relationship between the number of workers and the time taken to complete a job. The relationship is inversely proportional. What can be said about the graph of this relationship?

Correct Answer Text: The graph will be a curve that gets closer to the axes but never touches them.

Wrong Answer Text: The graph will be a curve that crosses both the x-axis and the y-axis."
Confuses AM and PM when calculating time,"Question Text: Emily has a piano lesson that lasts for 2 hours. If her lesson starts at 9:00 AM, what time will it finish?
Correct Answer Text: 11:00 AM
Wrong Answer Text: 11:00 PM"
"Given the length of the sides, still does not recognise there is enough information to find the area","Question Text: Can you find the area of this rectangle?
Length: 6cm
Width: 4cm

Correct Answer Text: Yes, the area is 24cm²

Wrong Answer Text: No, there is not enough information to find the area."
"When multiplying a surd by an integer, adds the integer to the number under the surd","Question Text: Simplify \( 3 \times \sqrt{5} \).
Correct Answer Text: \( 3\sqrt{5} \)
Wrong Answer Text: \( \sqrt{8} \)"
Believes the number of wholes in a mixed number multiplies by the fraction part,"Question Text: \( 2 \frac{1}{4} \times 3 = ? \)
Correct Answer Text: \( 6 \frac{3}{4} \)
Wrong Answer Text: \( 6 \frac{1}{4} \)"
Estimates shares of a ratio instead of calculating,"Question Text: A bookshelf has 5 shelves, and the total height of the bookshelf is 225 cm. If the height of each shelf is in the ratio 2:3:5:5:10, what is the height of the shortest shelf?

Correct Answer Text: 30 cm

Wrong Answer Text: About 20 cm"
Confuses the ten thousands and thousands place value columns,"Question Text: Write the number forty-two thousand and five hundred in digits.
Correct Answer Text: 42,500
Wrong Answer Text: 425,000"
Does not understand the command word 'difference',"Question Text: What is the difference between 17 and 25?
Correct Answer Text: 8
Wrong Answer Text: 42"
Does not understand the term multiple,"Question Text: What is a multiple of 6?
A) 5, 6, 7
B) 6, 12, 18
C) 1, 2, 3

Correct Answer Text: B) 6, 12, 18

Wrong Answer Text: A) 5, 6, 7"
Does not realise that when you multiply by 0 the answer will always be 0,"Question Text: What is the value of \( 5 \times 0 \times 3 \) ?
Correct Answer Text: 0
Wrong Answer Text: 15"
Thinks x = ? or y = ? is y = x,"Question Text: Solve for y in the equation: x = y
Correct Answer Text: y = x
Wrong Answer Text: x = y"
Believes squaring a fraction requires you to double both parts,"Question Text: What is \( \left(\frac{1}{2}\right)^{2} \) equal to?
Correct Answer Text: \( \frac{1}{4} \)
Wrong Answer Text: \( \frac{2}{4} \)"
Thinks the interior angles of any polygon add up to 360,"Question Text: What is the sum of the interior angles of a hexagon?
Correct Answer Text: 720 degrees
Wrong Answer Text: 360 degrees"
Forgot to simplify the fraction,"Question Text: Simplify the fraction: \[
\frac{6}{8}
\]
Correct Answer Text: \[
\frac{3}{4}
\]
Wrong Answer Text: \[
\frac{6}{8}
\]"
"When asked for a number n times smaller or bigger, subtracts or adds n","Question Text: 
A bookshelf is 72 cm tall. A new bookshelf is 3 times bigger. How tall is the new bookshelf?

Correct Answer Text: 
216 cm

Wrong Answer Text: 
75 cm"
Does not understand bar modelling in algebra,"Question Text: Tom has been saving money for a new bike and has £120. He wants to buy a bike that costs £180. Tom's parents have agreed to give him an allowance of £5 per week for doing chores. How many weeks will it take Tom to have enough money to buy the bike?

Let x be the number of weeks. Which of the following bar models represents the situation?

Correct Answer Text: A bar model with £120 at the start and £5 being added x times to reach £180.

Wrong Answer Text: A bar model with £120 at the start and £180 being added x times."
"When squaring a variable, believes they also need to square the coefficient","Question Text: What is the expanded form of \( 3x^{2} \) if it is written as \( (3x)^{2} \) ?

Correct Answer Text: \( 9x^{2} \)

Wrong Answer Text: \( 3x^{2} \)"
Uses more than 3 letters to describe an angle,"Question Text: What is the notation for an angle?
Correct Answer Text: A single letter, or 2 or 3 letters, e.g. A or ABC
Wrong Answer Text: More than 3 letters, e.g. ABCD"
Believes dividing a negative by a positive gives a positive answer,"Question Text: What is the result of \( -12 \div 4 \) ?
Correct Answer Text: \( -3 \)
Wrong Answer Text: \( 3 \)"
Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,"Question Text: What is the formula to find the total interior angles in a polygon with 'n' sides?

Correct Answer Text: (n-2) × 180

Wrong Answer Text: (n+2) × 180"
Enlarges by the wrong centre of enlargement,"Question Text: A shape is enlarged by a scale factor of 2. The original shape has a point at (2,3). If the centre of enlargement is at (1,1), what will be the coordinates of the enlarged point?
Correct Answer Text: (3,5)
Wrong Answer Text: (4,6)"
Rounded to wrong degree of accuracy (2sf not 1sf),"Question Text: A book measures 25.7 cm in length. What is its length to 1 significant figure?
Correct Answer Text: 30 cm
Wrong Answer Text: 26 cm"
Believes the sides of an inequality can be switched without changing the direction of the sign,"Question Text: Solve for \( x \) in the inequality \( 5 > 2x + 1 \).
Correct Answer Text: \( x < 2 \)
Wrong Answer Text: \( x > 2 \)"
Multiplies by 1000 instead of 100 when converting a decimal to a percentage,"Question Text: Convert 0.45 to a percentage.
Correct Answer Text: 45%
Wrong Answer Text: 450%"
Believes midpoint multiplied by frequency is equivalent to frequency density,"Question Text: A survey of exam scores has the following results:
Score 1-10: 5 students
Score 11-20: 10 students
Score 21-30: 15 students
To calculate the frequency density for the score range 11-20, which of the following calculations is correct?

Correct Answer Text: \( \frac{10}{10} \)
Wrong Answer Text: \( 15.5 \times 10 \)"
Believes the mean is the number of categories given divided by something,"Question Text: A survey of favorite colors was conducted among 12 students. The results are as follows:
4 students like blue, 4 students like green, and 4 students like red. What is the mean number of students who like each color?

Correct Answer Text: 4

Wrong Answer Text: 12 / 3 = 4, so the mean is the total number of students (12) divided by the number of categories (3 colors), which is 4. This is correct, but the reasoning is wrong, the correct reasoning is that the mean is simply the number of students in each category, which happens to be 4 in this case."
Believes that the complement of a set includes any elements which are also in another set.,"Question Text: 
Set A = {1, 2, 3, 4, 5} and Set B = {4, 5, 6, 7, 8}. What is the complement of Set A?

Correct Answer Text: 
The complement of Set A is all elements not in Set A, which would be all numbers not in {1, 2, 3, 4, 5}. In the context of Sets A and B, this would include {6, 7, 8} and any other elements not in Set A.

Wrong Answer Text: 
The complement of Set A is {6, 7, 8} and also includes {4, 5} because they are in Set B."
Confuses the terms edges and vertices,"Question Text: A cube has 8 corners and 12 lines where the faces meet. What are the names of these features on a 3D shape?
Correct Answer Text: The 8 corners are called vertices and the 12 lines are called edges.
Wrong Answer Text: The 8 corners are called edges and the 12 lines are called vertices."
"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds","Question Text: Simplify \( \sqrt{8} + \sqrt{18} \).
Correct Answer Text: \( 2\sqrt{2} + 3\sqrt{2} = 5\sqrt{2} \)
Wrong Answer Text: \( \sqrt{26} \)"
"When asked for the value of a digit, gives an answer 10 times too big","Question Text: What is the value of the digit 4 in the number 45?
Correct Answer Text: 4
Wrong Answer Text: 40"
Does not realise that division can be broken down into factors,"Question Text: 
Simplify the expression: \( 48 \div 6 \div 2 \)

Correct Answer Text: \( 48 \div(6 \times 2) = 48 \div 12 = 4 \)

Wrong Answer Text: \( (48 \div 6) \div 2 = 8 \div 2 = 4 \)"
Believes y=-f(x) is a reflection in y=x,"Question Text: What is the transformation represented by the function y = -f(x), where f(x) is the original function?
Correct Answer Text: A reflection in the x-axis
Wrong Answer Text: A reflection in the line y = x"
Thinks corresponding angles sum to 360 degrees,"Question Text: Two lines intersect to form a pair of corresponding angles. If one angle measures 120 degrees, what is the measure of the corresponding angle?
Correct Answer Text: 120 degrees
Wrong Answer Text: 240 degrees"
Doesn't believe that when you divide by 0 the answer will always be 0,"Question Text: What is the value of \( 8 \div 0 \) ?
Correct Answer Text: This is undefined, you cannot divide by 0
Wrong Answer Text: 0"
"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction","Question Text: 
Tom has \( \frac{3}{4} \) of a pizza that has been cut into 12 slices. How many slices of pizza does Tom have?

Correct Answer Text: 
\( \frac{3}{4} \times 12 = 9 \) slices

Wrong Answer Text: 
\( 12 \div 4 = 3 \) slices"
Does not use angle facts when setting up an equation from an angle diagram,"Question Text: In the diagram, angles A and B are complementary. If angle A is x degrees and angle B is 3x degrees, what is the value of x?

Correct Answer Text: Since angles A and B are complementary, their sum is 90 degrees. Set up the equation x + 3x = 90.

Wrong Answer Text: Since angles A and B are complementary, angle A must be 45 degrees. Set up the equation x = 45."
When asked for a specific term in a sequence gives the term before,"Question Text: What is the 5th term in the sequence: 2, 5, 8, 11, 14, 17?
Correct Answer Text: 14
Wrong Answer Text: 11"
Thinks circumference is radius x pi,"Question Text: What is the formula for the circumference of a circle?
Correct Answer Text: Circumference = 2 x π x radius
Wrong Answer Text: Circumference = radius x π"
Believes the arrow on a number line points to the middle value,"Question Text: A number line has the numbers 0, 5, and 10 marked. If the number 7 is to be marked, where should the arrow point?
Correct Answer Text: The arrow should point to the 7.
Wrong Answer Text: The arrow should point to the 5, because it is the middle value between 0 and 10."
"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ","Question Text: Evaluate the expression: \( 8 - (-3) \)

Correct Answer Text: \( 8 + 3 = 11 \)

Wrong Answer Text: \( 8 - 3 = 5 \)"
Assumes a negative number is not rational,"Question Text: Is the number \( -\frac{3}{4} \) rational?
Correct Answer Text: Yes
Wrong Answer Text: No"
Believes the solution to mx + c = a is the x intercept of y = mx +c,"Question Text: What is the solution to the equation \( 2x + 3 = 7 \) ?


Correct Answer Text: \( x = 2 \)


Wrong Answer Text: The point where the line \( y = 2x + 3 \) crosses the x-axis."
"When dividing, confuses the remainder with the quotient","Question Text: Ben has 17 cookies that he wants to put into boxes of 3 cookies each. How many boxes can Ben fill with the cookies he has?
Correct Answer Text: 5 with 2 cookies left over
Wrong Answer Text: 2"
Cannot identify a common factor when simplifying algebraic fractions,"Question Text: Simplify the expression: \[
\frac{6x}{12x}
\]

Correct Answer Text: \[
\frac{1}{2}
\]

Wrong Answer Text: \[
\frac{6}{12}
\]"
"Has written the value of the 'ones' column as the answer, withiut using the numbers in the question.","Question Text: A bookshelf has 5 shelves, and each shelf can hold 8 boxes of books. If the bookshelf is currently empty, how many boxes of books can be placed on it in total?

Correct Answer Text: 40

Wrong Answer Text: 5"
Multiplies by 10 instead of 100 when converting decimal to percentage,"Question Text: What is 0.45 as a percentage?
Correct Answer Text: 45%
Wrong Answer Text: 4.5%"
Does not realise that a curved line represents a changing gradient,"Question Text: What can be said about the gradient of the line in the graph below?



(Curved line graph with changing steepness)

Correct Answer Text: The gradient is changing
Wrong Answer Text: The gradient is constant"
Believes 'data' and 'sample' are interchangeable,"Question Text: A researcher collected the exam scores of all 500 students in a school. What would you call this collection of exam scores?

Correct Answer Text: A population

Wrong Answer Text: A sample"
Mixes up squaring and multiplying by 4,"Question Text: What is the simplified form of \( (2 \times 3)^2 \) ?
Correct Answer Text: \( (2 \times 3)^2 = 36 \)
Wrong Answer Text: \( (2 \times 3)^2 = 2 \times 3 \times 4 = 24 \)"
Cannot spot a variable within a written scenario,"Question Text: 
Tom has been saving money for a new bike and has £120 in his savings account. Each week, he earns £15 from his part-time job and adds it to his savings. If Tom needs £180 to buy the bike, how many weeks will it take him to have enough money?

Correct Answer Text: 
Let x be the number of weeks. Then 120 + 15x = 180. Solving for x, we get x = 4.

Wrong Answer Text: 
It will take him 60 weeks, since 180 - 120 = 60."
Repeats the digits three times when cubing a number,"Question Text: What is \( 2^{3} \) ?
Correct Answer Text: \( 8 \)
Wrong Answer Text: \( 222 \)"
Divides by 1000 instead of 100 when converting a decimal to a percentage,"Question Text: What is 0.35 as a percentage?
Correct Answer Text: 35%
Wrong Answer Text: 0.035%"
Confuses a term with an equation,"Question Text: What is the difference between an expression and an equation? 
Correct Answer Text: An expression is a group of numbers, symbols, and operators that can be evaluated to a value, while an equation is a statement that says two expressions are equal.
Wrong Answer Text: They are the same thing, just different names."
"When given a non-unit fraction of an amount, treats it like a unit fraction","Question Text: Emily has 18 pencils and she gives 3/4 of them to her friend. How many pencils does Emily give away?
Correct Answer Text: 13.5
Wrong Answer Text: 3"
"When reading a composite bar chart, just reads total height of bar","Question Text: 
The bar chart shows the number of fiction and non-fiction books sold by a bookstore in 2018 and 2019.

2018: 
Fiction (bottom part of the bar): 100
Non-fiction (top part of the bar): 50
Total height of the bar: 150

2019: 
Fiction (bottom part of the bar): 120
Non-fiction (top part of the bar): 30
Total height of the bar: 150

What can be concluded about the sales of fiction books from 2018 to 2019?

Correct Answer Text: The sales of fiction books increased by 20.
Wrong Answer Text: The sales of fiction books stayed the same."
Multiplies all given dimensions when calculating an area,"Question Text: A bookshelf has 5 shelves, and each shelf is 30cm long and 20cm wide. What is the total area of all the shelves?
Correct Answer Text: 5 x 30cm x 20cm is incorrect for this question, the correct calculation is 5 x (30cm x 20cm) = 3000cm²
Alternatively, Correct Answer Text: 5 x (30cm x 20cm) = 3000cm²
Wrong Answer Text: 5 x 30cm x 20cm = 3000 x 5 = 15000cm²"
Thinks a decimal can be written as a fraction by just writing it under a numerator of 1,"Question Text: Write 0.5 as a fraction.
Correct Answer Text: 1/2
Wrong Answer Text: 0.5/1"
Confuses a function with an expression,"Question Text: Is \( y=3x+2 \) an expression, a function, or both?
Correct Answer Text: Both
Wrong Answer Text: An expression"
Believes they must expand brackets before solving an equation,"Question Text: Solve for x: 2(x + 3) = 12

Correct Answer Text: x + 3 = 12 / 2, x + 3 = 6, x = 3

Wrong Answer Text: 2x + 6 = 12, 2x = 12 + 6, 2x = 18, x = 9"
Believes that the directions of positive and negative vectors are the opposite way around.,"Question Text: A plane is flying due east at a speed of 300 km/h. A wind is blowing from the east at 50 km/h. What is the direction of the resultant vector of the plane's velocity and the wind velocity?

Correct Answer Text: The resultant vector points east but with a reduced magnitude.

Wrong Answer Text: The resultant vector points west."
Confuses quadratic and exponential graphs,"Question Text: Which type of graph is represented by the equation y = x^2, and what is its main characteristic?
Correct Answer Text: This is a quadratic graph, and its main characteristic is a parabolic shape that opens upwards or downwards.
Wrong Answer Text: This is an exponential graph, and its main characteristic is a rapid increase or decrease as x increases."
"Does not follow the arrows through a function machine, changes the order of the operations asked.","Question Text: This function machine takes an input, multiplies it by 3, then adds 2.
If the input is 4, what is the output?

Correct Answer Text: 14

Wrong Answer Text: 18"
"When multiplying a fraction by an integer, multiplies the denominator instead of the numerator","Question Text: What is \( \frac{1}{4} \times 6 \) ?
Correct Answer Text: \( \frac{6}{4} \)
Wrong Answer Text: \( \frac{1}{24} \)"
Does not understand how to divide algebraic terms,"Question Text: Simplify the expression: \( \frac{6x}{2} \)

Correct Answer Text: \( 3x \)

Wrong Answer Text: \( 3 \)"
Thinks you can ignore the variable when simplifying algebraic fractions,"Question Text: Simplify the expression: \[
\frac{6x}{2x}
\]
Correct Answer Text: \[
3
\]
Wrong Answer Text: \[
\frac{6}{2x}
\]"
Thinks you subtract rather than add when finding the previous term in a descending linear sequence,"Question Text: A sequence of numbers starts at 25 and decreases by 3 each time. What is the term before 16 in the sequence?

Correct Answer Text: 19

Wrong Answer Text: 13"
Believes the square of a negative will also be negative,"Question Text: What is the value of \( (-4)^2 \) ?
Correct Answer Text: \( 16 \)
Wrong Answer Text: \( -16 \)"
Confuses the meaning of perpendicular and vertical ,"Question Text: Which of the following lines are perpendicular to the x-axis?
Correct Answer Text: Only lines with a slope of zero are perpendicular to the y-axis, but lines with undefined slope are perpendicular to the x-axis.
Wrong Answer Text: All vertical lines are perpendicular to the x-axis, and all horizontal lines are not perpendicular to the x-axis."
Believes greater than/less than symbols include end values,"Question Text: Consider the inequality \( x > 5 \). Which of the following values of \( x \) satisfy this inequality?
\( x = 5, 6, 7 \)

Correct Answer Text: \( x = 6, 7 \)

Wrong Answer Text: \( x = 5, 6, 7 \)"
Does not remember that a rhombus has equal sides,"Question Text: What can be said about the lengths of the sides of a rhombus?
Correct Answer Text: All sides are equal
Wrong Answer Text: Opposite sides are equal, but not all sides are equal"
Assumes value of symbols in a pictogram without checking the key,"Question Text: 
This pictogram shows the number of books read by four students in a class.

Student A: 
Student B: 
Student C: 
Student D: 

Key:  = 2 books

How many books did Student A read?

Correct Answer Text: 4 books
Wrong Answer Text: 2 books"
Does not know what an exterior angle is ,"Question Text: What is the sum of the exterior angles of any polygon?
Correct Answer Text: 360 degrees
Wrong Answer Text: The sum of the exterior angles is the same as the sum of the interior angles."
Believes parallelogram is the term used to describe two lines at right angles,"Question Text: What is the term used to describe two lines that meet at a 90-degree angle?
Correct Answer Text: Perpendicular lines
Wrong Answer Text: Parallelogram"
Thinks it can't be called a sequence with a repeated number at the start,"Question Text: Is the following a sequence: \( 3,3,5,7,9 \) ?
Correct Answer Text: Yes
Wrong Answer Text: No"
Does not understand place value after the decimal point,"Question Text: A bottle contains 2.45 liters of juice. If 0.2 liters of juice is added, how many liters of juice are in the bottle now?

Correct Answer Text: 2.65 liters

Wrong Answer Text: 2.6 or 2.7 or 2.45 + 2 = 4.45"
"When asked for factors of an algebraic expression, thinks any part of a term will be a factor","Question Text: What are the factors of \( 6x+12 \) ?
Correct Answer Text: \( 1, 2, 3, 6, (2x+4), (3x+6), (6x+12) \)
Wrong Answer Text: \( 1, 2, 3, 6, x, 12 \)"
"When identifying the center of rotation, writes down the origin","Question Text: A triangle is rotated 90 degrees clockwise. The original triangle had vertices at (2, 3), (4, 5), and (6, 1). The rotated triangle has vertices at (3, -2), (5, -4), and (1, -6). What is the center of rotation?

Correct Answer Text: (0 is not the correct x or y value, it is actually the middle of the 2 sets of points) (3, -3) and (3, 3) midpoint =  (3,0)  or use another method to find (3,0) 

Wrong Answer Text: (0, 0)"
"When multiplying a surd of the form a✓b by an integer, believes the integer and the number under the surd are multiplied","Question Text: Simplify the expression \( 3 \times 2\sqrt{5} \).
Correct Answer Text: \( 6\sqrt{5} \)
Wrong Answer Text: \( 2\sqrt{15} \)"
"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical","Question Text: Solve the simultaneous equations:
\[
2x + 3y = 7
\]
\[
x - 2y = -3
\]
What can be done to make the coefficients of y the same in both equations?

Correct Answer Text: Multiply the first equation by 2 and the second equation by 3, so the coefficients of y's in both equations will be 6 and -6, respectively, but with opposite signs, or multiply the first equation by 2 and the second by -2 to get 6y and -4y, then multiply the first equation by 2 and the second equation by 3.

Correct Answer Text Alternative: Multiply the first equation by 2 and the second equation by -2 to get 6y and 4y, then multiply the first equation by 2 and the second equation by 3 to get 6y and -6y respectively.

Wrong Answer Text: Add 2y to the second equation so the coefficients of y's in both equations will be 3y and the equations will be:
\[
2x + 3y = 7
\]
\[
x = -3 + 5y"
Does not know about the + notation for directions in rotations,"Question Text: A shape is rotated 90° clockwise, then 180° anticlockwise. What is the total rotation of the shape?
Correct Answer Text: 90° anticlockwise
Wrong Answer Text: 270° clockwise"
Multiplies surds when asked to add,"Question Text: Simplify \( 2\sqrt{3} + 4\sqrt{3} \).
Correct Answer Text: \( 6\sqrt{3} \)
Wrong Answer Text: \( 8\sqrt{9} \)"
Believes there is only one orientation for the isosceles triangle base angles,"Question Text: Can an isosceles triangle have its base angles in different positions, or do they always have to be in one specific orientation?

Correct Answer Text: An isosceles triangle can have its base angles in different positions.

Wrong Answer Text: An isosceles triangle always has its base angles in one specific orientation."
Incorrectly clears fractions from equations,"Question Text: Solve for x: \[
\frac{1}{2}x + 3 = 5
\]
Correct Answer Text: \[
\frac{1}{2}x = 2, \  x = 4
\]
Wrong Answer Text: Multiply both sides by 2 to get rid of the fraction first, then add 6 to both sides: \[
x + 6 = 10, \  x = 4
\]"
Thinks the faster you travel the longer the time it will take,"Question Text: Tom and Alex are traveling from City A to City B. The distance between the two cities is 240 miles. Tom is traveling at 40 miles per hour, and Alex is traveling at 60 miles per hour. Who will take longer to reach City B?

Correct Answer Text: Tom

Wrong Answer Text: Alex"
Believes angles in a triangle sum to 360 degrees,"Question Text: What is the sum of the angles in a triangle?
Correct Answer Text: 180 degrees
Wrong Answer Text: 360 degrees"
Believes that reflection always switches the x and y coordinates,"Question Text: What is the reflection of point \( (3, 4) \) across the x-axis?
Correct Answer Text: \( (3, -4) \)
Wrong Answer Text: \( (4, 3) \)"
Does not think a factorised expression is equivalent to its multiplied out form,"Question Text: Which of the following expressions is equivalent to \( (x+3)(x+5) \) ?
Correct Answer Text: \( x^{2}+8x+15 \)
Wrong Answer Text: There is no equivalent expression without brackets."
"When completing the square, believes the constant in the bracket is double the coefficient of x","Question Text: Complete the square for the expression \( x^2 + 6x \).
Correct Answer Text: \( (x+3)^2 - 9 \)
Wrong Answer Text: \( (x+6)^2 \)"
Assumes a sequence is linear,"Question Text: Look at the sequence: 2, 5, 10, 17, 26. What comes next in the sequence?
Correct Answer Text: 37
Wrong Answer Text: 31"
Mixes up sides of a ratio,"Question Text: A recipe for making cookies requires a ratio of \( 2:5 \) of sugar to flour. If you need \( 10 \) cups of flour, how many cups of sugar do you need?
Correct Answer Text: \( 4 \) cups
Wrong Answer Text: \( 25 \) cups"
Believes an arrowhead has four equal sides,"Question Text: What is the name of the shape of an arrowhead, which has two pairs of sides where one pair is equal in length?
Correct Answer Text: An isosceles triangle
Wrong Answer Text: A square"
"When expanding brackets, multiplies out the first term correctly but adds together the number outside the bracket with the second term inside the bracket.","Question Text: Expand the expression \( 2(x+5) \).
Correct Answer Text: \( 2x+10 \)
Wrong Answer Text: \( 2x+7 \)"
Uses only the first two terms of a sequence to work out a term-to-term rule,"Question Text: 
Look at this sequence of numbers: 
2, 5, 8, 11, 14, ...
What is the next number in the sequence?

Correct Answer Text: 
17

Wrong Answer Text: 
The pattern is add 3, then add 3 again, so the next number is 20 (5 + 3 = 8, 8 + 3 = 11, 11 + 3 = 14, 14 + 6 = 20)"
Thinks a factor of the final digit is also a factor of the whole number,"Question Text: Is 2 a factor of 312?
Correct Answer Text: Yes
Wrong Answer Text: To determine if 2 is a factor of 312, we need to check if 2 can divide the hundreds and tens place digits as well, not just the ones place."
Does not know how to find the length of a line segment from coordinates,"Question Text: What is the length of the line segment connecting the points \( (2, 5) \) and \( (6, 9) \) on a coordinate plane?

Correct Answer Text: \( \sqrt{(6-2)^2 + (9-5)^2} = \sqrt{4^2 + 4^2} = \sqrt{32} \)

Wrong Answer Text: \( 6 - 2 + 9 - 5 = 8 \)"
Does not work out all possibilites when given an 'at least' question in probability,"Question Text: A six-sided die is rolled. What is the probability that at least one 4 is rolled in two rolls of the die?

Correct Answer Text: To find the probability that at least one 4 is rolled, we need to find the probability that no 4 is rolled and subtract it from 1. The probability of not rolling a 4 in one roll is 5/6. The probability of not rolling a 4 in two rolls is (5/6) × (5/6) = 25/36. So, the probability of rolling at least one 4 is 1 - 25/36 = 11/36.

Wrong Answer Text: The probability of rolling a 4 in one roll is 1/6. Since we have two rolls, the probability of rolling at least one 4 is 1/6 + 1/6 = 2/6 = 1/3."
Thinks the difference between the numerator and denominator determines how close the fraction is to 1,"Question Text: Which fraction is closest to 1?
\[ 
\frac{7}{8} \text { or } \frac{10}{12} 
\]

Correct Answer Text: \[
\frac{7}{8}
\]

Wrong Answer Text: \[
\frac{10}{12} \text { because } 12-10=2 \text { and } 8-7=1
\]"
Does not recognise difference of two squares,"Question Text: Factorise the expression: 
\[
x^2 - 9
\]

Correct Answer Text: \( (x-3)(x+3) \)

Wrong Answer Text: \( x^2 - 9 \) cannot be factorised"
Does not know the meaning of the word parallel,"Question Text: Which of the following best describes two parallel lines?
Correct Answer Text: Two lines that never intersect, no matter how far they are extended.
Wrong Answer Text: Two lines that intersect at a 90-degree angle."
Believes fraction to decimal conversion is done by writing the numerator as a decimal,"Question Text: Convert the fraction \( \frac{3}{4} \) to a decimal.
Correct Answer Text: 0.75
Wrong Answer Text: 3.4"
Believes an outlier is determined by the number of decimal places a number has,"Question Text: Identify the outlier in the dataset: 
2.5, 3, 3.1, 2.9, 10

Correct Answer Text: 10

Wrong Answer Text: 2.5, 3.1, 2.9 (because they have decimal places)"
